"filename","title","description","feature","topic","audience","role","level"
"./metadata.md","","","","","","",""
"././help/TOC.md","","","","","","",""
"./help/overview.md","Analytics Videos and Tutorials","A collection of videos and tutorials for Adobe Analytics.","overview","","all","",""
"./help/intro-to-audience-manager/how-a-dmp-can-change-your-business.md","How a DMP can change your business","Data Management Platforms are the talk of the tech world right now, but what are they and more importantly, how can they help you as marketers realize your goals? During this session we will explain what a DMP is and showcase some real world case studies where customers have seen amazing returns on their investment, from more efficient media buys to significantly increased conversions.","overview","","all","",""
"./help/intro-to-audience-manager/audience-manager-overview-of-a-dmp.md","Audience Manager - Overview of a DMP","Understand the key challenges with cross channel personalization and how Adobe Audience Manager powers the customer journey. Also learn which data types can be on-boarded in Audience Manager and identify the ad-tech eco-system partners integrated with Audience Manager.","overview","","all","",""
"./help/intro-to-audience-manager/audience-manager-use-cases.md","Audience Manager Use Cases","In this video we identify four common Audience Manager use cases, and describe the best practices associated with them.","overview","","all","",""
"./help/intro-to-audience-manager/understanding-basic-terms-and-concepts-in-audience-manager.md","Understanding Basic Terms and Concepts in Audience Manager","In this video we will go over some of the basic terms and concepts that will get you started in Audience Manager, including signals, traits, segments, etc.","overview","","all","",""
"./help/intro-to-audience-manager/understanding-the-data-flow-in-audience-manager.md","Understanding the Data Flow in Audience Manager","This video helps you to understand Adobe Audience Manager by describing the data flow into, through, and out of the application.","overview","","all","",""
"./help/intro-to-audience-manager/introduction-to-identity-in-audience-manager.md","Introduction to Identity in Audience Manager","In this video, you will learn how Adobe Audience Manager manages identity, including internal profiles and profile merging as well as ID syncing with partners.","id syncs","","all","",""
"./help/intro-to-audience-manager/value-realization/measuring-roi-in-a-customer-suppression-use-case.md","Measuring ROI in a Customer Suppression Use Case","A penny saved is a penny earned, right? Learn to use a couple of formulas to determine your campaign cost savings by suppressing ads to existing customers.","overview","","marketer","",""
"./help/setup-and-admin/data-sources/create-a-data-source-for-analytics-data.md","Create a Data Source for Analytics Data","In this video we walk through the steps, including tips and tricks, of creating a Data Source in AAM that you can use for data coming in live from an analytics solution, like Adobe Analytics. This should be done prior to creating traits for the analytics data.","data sources","","all","",""
"./help/setup-and-admin/data-sources/creating-a-cross-device-data-source-and-authenticating.md","Creating a Cross Device Data Source and Authenticating","When you want to bring your 1st party CRM data into Audience Manager to better target your customers, you need to first create a Cross Device Data Source to store the CRM IDs and data. This shows you how to do that and to set up the setCustomerIDs() method in Launch for logins.","data sources","","marketer","",""
"./help/setup-and-admin/user-management/setting-permissions-with-role-based-access-control.md","Setting Permissions with Role-Based Access Control","Adobe Audience Manager's Role-Based Access Control allows you to manage permissions at a group level, controlling who gets to see and work with assets, including traits, segments, destinations, and models. Learn how to set up the permission groups and add users to them.","administration","","administrator","",""
"./help/setup-and-admin/data-governance-and-privacy/global-device-id-validation.md","Global Device ID Validation","Device Advertising Identifiers (i.e. iDFA, GAID, Roku ID) have formatting standards that must be met in order to be usable in the digital advertising ecosystem. Today, customers and partners can upload IDs to our Global data sources in any format without being notified of whether the ID is properly formatted. This feature will introduce validation of device IDs sent to the Global data sources for proper formatting and will provided error messaging when IDs are incorrectly formatted. We will support validation for iDFA, Google Advertising and Roku IDs at launch.","data governance & privacy","","implementer, developer, architect","",""
"./help/setup-and-admin/data-governance-and-privacy/iab-tcf-support.md","IAB TCF 2.0 Support in Audience Manager","Adobe provides you with the means to manage and communicate your users' privacy choices through the Opt-in functionality and through the Audience Manager Plug-in to IAB Transparency and Consent Framework 2.0 (TCF 2.0) support. This article works together with the documentation to help you understand the Audience Manager Plug-in to IAB TCF and how it works together with Adobe’s Opt-in object and your Consent Management Provider (CMP).","data governance & privacy","","implementer, architect","",""
"./help/setup-and-admin/data-governance-and-privacy/ip-obfuscation-by-country.md","IP Obfuscation by Country in Audience Manager","Audience Manager provides self-serve capability in the UI to enable customers to turn on IP obfuscation globally or by country. This video walks you through the setup.","data governance & privacy","","all","",""
"./help/setup-and-admin/usage-and-billing/monitoring-and-reporting-on-activity-usage.md","Monitoring and Reporting on Activity Usage","In this video, we will walk through how to use the Activity Usage Report, including display and download options.","usage and billing","","administrator, implementer","",""
"./help/web-implementation/dil/updating-to-dil-version-8-0-or-greater.md","Updating to Adobe Audience Manager’s DIL version 8.0 (or greater)","This article will give you steps and recommendations on updating Adobe Audience Manager (AAM) Data Integration Library (DIL) code to version 8.0 or later. This is referring to “client-side” DIL implementation, not server-side forwarding of Adobe Analytics data, and will cover DTM, Launch by Adobe, and implementations with no Adobe tag manager solution.","dil implementation","","implementer","",""
